vacancy_id,title,company_name,total_quota,show_quota,stream_id,stream_name,employment_status,selected_job,is_saved,experience_level,total_applied
D407288437696F8167BFEC6C67DE43F0C9E6331EACEF8C6C16D56ECB2CCE8DE65FE46DE075472A4D3BCDE6809E23FC3C,Petugas Administrasi Bidang Operasional ,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Jasa Raharja,2000,1,651D3B34B5366E0E5EF4831762092408AF141F7FA0BCA1F26FB4E405A21E4977102FD86259B7C3A4B46E3478818BC361,Operasi / Produksi / Proyek,Pegawai Kontrak,False,False,Disabilitas,0
97B9D5D8FE683C85B4060DC243D7265987880B15949FA4057FB4CD8A64BF847A2A2AD4E461979F08AD4F7B24A25BC982,Petugas Administrasi Bidang Operasional ,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Jasa Raharja,4000,1,651D3B34B5366E0E5EF4831762092408AF141F7FA0BCA1F26FB4E405A21E4977102FD86259B7C3A4B46E3478818BC361,Operasi / Produksi / Proyek,Pegawai Kontrak,False,False,Orang Asli Papua (OAP),0
AE8D787BC7E11D099827BB53BF58EACFA870613B7AAD5B8E95F1B4C02EF4ADCA8C5377F58057DF37D24CA14D0A63BE80,S1 - Public Relations Staff,PT Kereta Api Indonesia (Persero),3000,1,320B08ABC373FF77D04D7A0EC83EFB5AEAEB1F4C22213BA44E0E54888F4E696819417263F84FB1DB1DFD8E5EC5D77ECC,Corporate Communications/Digital Public Relations/Media Relations,Pegawai Tetap,False,False,Fresh Graduate,3000
37B11AB9D9EB0084DF1D8F913B0FF856602451DFA6EA096EA9386F0A0AF0419EED68E65AF55BE10194BE47F96EEC8F05,S1 - Document Management Staff,PT Kereta Api Indonesia (Persero),3000,1,907020F1602638B8BB320EF129E955EFCE97282E9F1465582A532B521A5DFF5EBBD44B1B925F18ECF8350E7E7C5DC258,Logistic / Supply Chain / Asset / GA,Pegawai Tetap,False,False,Fresh Graduate,13
C367EE20CEAC6B526218C4144E32F2CFFF0AA8EF7747142B08129427D7471EF9483EA5E229420205C226D6B14ADEF134,S1 - Auditor Staff,PT Kereta Api Indonesia (Persero),6000,1,09DE941CFA97F5B366F3870429D506F8A650266D454D97691E026C5CCE07D766A44138C882D679AA397C24B8FB330F52,Internal Audit,Pegawai Tetap,False,False,Fresh Graduate,1324
11ADF8B7391B64EB8AC152184DE7EE2770E80DFD329403D6BF8A079AF6FE666521CBFABCA7E8AF342841675D74C756F9,S1 - Finance Staff,PT Kereta Api Indonesia (Persero),7000,1,7835FD9522F08DD97A83B3871591408352EA49E853659D816839E3DC5C8EE314600E78430748C34795DA1E7043B57EE4,Keuangan,Pegawai Tetap,False,False,Fresh Graduate,1087
0A7CA2F1FEE8154A96C9012CEDEFAA83EC3E4ACC74ECB71AFA25FEB63C548E568C3E402C705DF6C675BC38A1F17A225B,S1 - IT Developer,PT Kereta Api Indonesia (Persero),4000,1,CF92D65249E924012A342BBC73114AB35CF81F698F9C96C30E0249E4B453F81B3168022D9DA680DDD166AB388D0416F1,Digitalisasi & IT,Pegawai Tetap,False,False,Fresh Graduate,1246
4B594D4BDA5D5085A4F5CB0D4BD7B141B5DCCBC7679B3DA38377C4D05FEFC42DF03F048AA15B82C2707C7CF711D168B3,S1 - Strategic Business Development Staff,PT Kereta Api Indonesia (Persero),2000,1,221CA9A6DB201C4D39D5553C8D19B6ED586B19D553C5B97FEDEDDF2705C74F6543C4DF349779258EDFC7B7346C03EA24,Pengembangan Usaha / R & D,Pegawai Tetap,False,False,Fresh Graduate,452
26E76F408697CF59F0C0604B3D820A51B4D7413BCE0CB81147EFD1194CBFAD08F0F4E842FBFAADBE4966AF10084EE77D,S1 - Human Capital Staff,PT Kereta Api Indonesia (Persero),7000,1,516720B475AB13424568C8CBAC2031A578DC8D78356C260041751782F16BF8C121E2D0F10C20C3AD2F071E695A296398,SDM / HC,Pegawai Tetap,False,False,Fresh Graduate,2611
2EEDF2D8D975A77682820A4B4A6AD2FA8DC9DB1780E65C4136E502B5756079C2F01E37F22264B2EB4028E95A53DFD1FC,S2 - Education dan Training Center Staff,PT Kereta Api Indonesia (Persero),1000,1,516720B475AB13424568C8CBAC2031A578DC8D78356C260041751782F16BF8C121E2D0F10C20C3AD2F071E695A296398,SDM / HC,Pegawai Tetap,False,False,Fresh Graduate,100
CCC1BB7153E8EEA4DD56F011E025F7C19B2D4AA7C91EABBA69FAFF93FBC3BBF1DE45C4206A596F8C348257755777BF3B,S1 - Education dan Training Center Staff,PT Kereta Api Indonesia (Persero),8000,1,516720B475AB13424568C8CBAC2031A578DC8D78356C260041751782F16BF8C121E2D0F10C20C3AD2F071E695A296398,SDM / HC,Pegawai Tetap,False,False,Fresh Graduate,927
C45B2CB0420DA5F658730B9AA4BBB0B71B0A44CD3BD45E03BE6B7E58A493F40A3B0A91990F438DF86475A2FB8F9D9B0F,S1 - Procurement Staff,PT Kereta Api Indonesia (Persero),7000,1,907020F1602638B8BB320EF129E955EFCE97282E9F1465582A532B521A5DFF5EBBD44B1B925F18ECF8350E7E7C5DC258,Logistic / Supply Chain / Asset / GA,Pegawai Tetap,False,False,Fresh Graduate,412
ECFFD44B5D0A4FEDA8FE03F1BF8DF32B377194E365B586E5EDB60D103D4907C435478C6DB6B991DBCAC50A828F16DA32,S1 - Paramedis,PT Kereta Api Indonesia (Persero),3000,1,516720B475AB13424568C8CBAC2031A578DC8D78356C260041751782F16BF8C121E2D0F10C20C3AD2F071E695A296398,SDM / HC,Pegawai Tetap,False,False,Fresh Graduate,782
A3ADE1A135F20CF415BB384F660579D943B0F3A147190DDF8FBF3DC08288B1C84982DDEAA99AE1009CED27574E160D62,S1 - Safety Officer,PT Kereta Api Indonesia (Persero),7000,1,71EE70400E80344A7972D0EFC94477C2,Sistem Management & Safety,Pegawai Tetap,False,False,Fresh Graduate,1596
